t_ms,P_mmHg
5,0.0000000000
5.05,1.6506598799
5.1,2.6717557252
5.15,3.1382527566
5.2,3.6471586090
5.25,3.6471586090
5.3,4.4953350297
5.35,4.4953350297
5.4,5.5131467345
5.45,6.4461407973
5.5,6.5309584394
5.55,7.4639525021
5.6,8.5241730280
5.65,9.5843935539
5.7,9.6692111959
5.75,10.6022052587
5.8,10.6870229008
5.85,11.6200169635
5.9,11.6200169635
5.95,12.6378286684
6,12.6378286684
6.05,13.5708227311
6.1,13.5708227311
6.15,14.4189991518
6.2,14.4189991518
6.25,14.4189991518
6.3,15.4368108567
6.35,15.4368108567
6.4,15.8184902460
6.45,16.2849872774
6.5,17.3876166243
6.55,17.3876166243
6.6,17.3876166243
6.65,18.3206106870
6.7,18.3206106870
6.75,19.3384223919
6.8,19.3384223919
6.85,19.7625106022
6.9,20.2714164546
6.95,20.2714164546
7,21.2892281595
7.05,21.2892281595
7.1,21.2892281595
7.15,22.1374045802
7.2,22.1374045802
7.25,23.2400339271
7.3,23.2400339271
7.35,24.2578456319
7.4,24.2578456319
7.45,25.3604749788
7.5,25.3604749788
7.55,25.3604749788
7.6,26.2086513995
7.65,26.2086513995
7.7,27.3112807464
7.75,27.3112807464
7.8,28.3290924512
7.85,28.3290924512
7.9,28.3290924512
7.95,29.3469041561
8,29.3469041561
8.05,30.3647158609
8.1,30.3647158609
8.15,31.3825275657
8.2,31.3825275657
8.25,32.4003392706
8.3,32.4003392706
8.35,32.4003392706
8.4,33.4181509754
8.45,33.4181509754
8.5,34.4359626802
8.55,34.4359626802
8.6,34.4359626802
8.65,35.3689567430
8.7,35.3689567430
8.75,36.3867684478
8.8,36.3867684478
8.85,37.4045801527
8.9,37.4045801527
8.95,38.4223918575
9,38.4223918575
9.05,38.4223918575
9.1,39.4402035623
9.15,39.5250212044
9.2,40.4580152672
9.25,40.4580152672
9.3,41.5606446141
9.35,41.5606446141
9.4,42.4936386768
9.45,42.4936386768
9.5,43.5962680237
9.55,43.5962680237
9.6,43.5962680237
9.65,44.5292620865
9.7,44.5292620865
9.75,45.6318914334
9.8,45.6318914334
9.85,46.6497031383
9.9,46.6497031383
9.95,46.8471692112
10,47.5614927905
10.05,48.2758163698
10.1,48.6005089059
10.15,48.6005089059
10.2,49.1942324003
10.25,49.1942324003
10.3,50.8905852417
10.35,50.8905852417
10.4,50.8905852417
10.45,51.7387616624
10.5,51.7387616624
10.55,52.7565733673
10.6,52.7565733673
10.65,53.6047497880
10.7,53.6047497880
10.75,53.6047497880
10.8,54.7073791349
10.85,54.7073791349
10.9,55.7251908397
10.95,55.7251908397
11,56.6581849025
11.05,56.6581849025
11.1,57.6759966073
11.15,57.6759966073
11.2,57.6759966073
11.25,58.6938083121
11.3,58.6938083121
11.35,59.7964376590
11.4,59.7964376590
11.45,60.7294317218
11.5,60.7294317218
11.55,60.7294317218
11.6,61.7472434266
11.65,61.7472434266
11.7,62.6802374894
11.75,62.6802374894
11.8,63.6132315522
11.85,63.6132315522
11.9,64.5462256149
11.95,64.5462256149
12,64.5462256149
12.05,65.6488549618
12.1,65.6488549618
12.15,66.5818490246
12.2,66.5818490246
12.25,66.5818490246
12.3,67.5148430874
12.35,67.5148430874
12.4,68.3206106870
12.45,68.3206106870
12.5,69.2960135708
12.55,69.2960135708
12.6,69.2960135708
12.65,70.2290076336
12.7,70.2290076336
12.75,71.2468193384
12.8,71.2468193384
12.85,71.6284987277
12.9,72.0101781170
12.95,72.0101781170
13,72.9431721798
13.05,72.9431721798
13.1,73.8761662426
13.15,73.8761662426
13.2,73.8761662426
13.25,74.6395250212
13.3,75.1060220526
13.35,75.5725190840
13.4,75.5725190840
13.45,76.4206955047
13.5,76.4206955047
13.55,77.2688719254
13.6,77.2688719254
13.65,77.2688719254
13.7,78.0322307040
13.75,78.0322307040
13.8,78.8804071247
13.85,78.8804071247
13.9,79.6437659033
13.95,79.6437659033
14,79.6437659033
14.05,80.4071246819
14.1,80.4071246819
14.15,81.1704834606
14.2,81.1704834606
14.25,81.9338422392
14.3,81.9338422392
14.35,81.9338422392
14.4,82.6972010178
14.45,82.6972010178
14.5,83.3757421544
14.55,83.3757421544
14.6,84.2239185751
14.65,84.2239185751
14.7,84.2239185751
14.75,84.7328244275
14.8,84.7328244275
14.85,85.4113655640
14.9,85.4113655640
14.95,85.5385920271
15,86.0050890585
15.05,86.4715860899
15.1,86.6836301951
15.15,86.6836301951
15.2,87.1925360475
15.25,87.1925360475
15.3,87.9558948261
15.35,87.9558948261
15.4,88.5496183206
15.45,88.5496183206
15.5,88.5496183206
15.55,89.0585241730
15.6,89.0585241730
15.65,89.6522476675
15.7,89.6522476675
15.75,89.6522476675
15.8,90.1611535199
15.85,90.1611535199
15.9,90.5004240882
15.95,90.5004240882
16,91.0941475827
16.05,91.0941475827
16.1,91.5182357930
16.15,91.5182357930
16.2,91.5182357930
16.25,92.0271416455
16.3,92.0271416455
16.35,92.3664122137
16.4,92.3664122137
16.45,92.4512298558
16.5,92.7056827820
16.55,92.7056827820
16.6,93.0449533503
16.65,93.0449533503
16.7,93.2145886344
16.75,93.2145886344
16.8,93.2569974555
16.85,93.5538592027
16.9,93.6386768448
16.95,93.8931297710
17,93.8931297710
17.05,94.1475826972
17.1,94.1475826972
17.15,94.1475826972
17.2,94.3172179813
17.25,94.4020356234
17.3,94.5716709075
17.35,94.5716709075
17.4,94.8261238338
17.45,94.8261238338
17.5,94.8261238338
17.55,94.8261238338
17.6,94.8261238338
17.65,94.9109414758
17.7,94.9109414758
17.75,95.0381679389
17.8,95.0805767600
17.85,95.1653944020
17.9,95.0805767600
17.95,95.0805767600
18,95.0805767600
18.05,95.0805767600
18.1,95.0805767600
18.15,95.0805767600
18.2,95.0805767600
18.25,95.0805767600
18.3,95.0805767600
18.35,94.9957591179
18.4,94.9957591179
18.45,94.9109414758
18.5,94.9109414758
18.55,94.6564885496
18.6,94.6564885496
18.65,94.5292620865
18.7,94.5292620865
18.75,94.5292620865
18.8,94.3172179813
18.85,94.3172179813
18.9,93.9779474131
18.95,93.9779474131
19,93.9779474131
19.05,93.8083121289
19.1,93.8083121289
19.15,93.4266327396
19.2,93.4266327396
19.25,93.3842239186
19.3,93.1297709924
19.35,93.1297709924
19.4,92.7056827820
19.45,92.7056827820
19.5,92.2815945717
19.55,92.2815945717
19.6,91.7726887193
19.65,91.7726887193
19.7,91.2637828668
19.75,91.2637828668
19.8,91.2637828668
19.85,90.8396946565
19.9,90.8396946565
19.95,90.6899385072
20,90.2671755725
20.05,89.8444126378
20.1,89.6522476675
20.15,89.6522476675
20.2,88.9737065310
20.25,88.9737065310
20.3,88.2951653944
20.35,88.2951653944
20.4,87.5318066158
20.45,87.5318066158
20.5,86.6836301951
20.55,86.6836301951
20.6,86.6836301951
20.65,86.0050890585
20.7,86.0050890585
20.75,85.1569126378
20.8,85.1569126378
20.85,85.1569126378
20.9,84.2239185751
20.95,84.2239185751
21,83.2909245123
21.05,83.2909245123
21.1,82.3579304495
21.15,82.3579304495
21.2,81.3401187447
21.25,81.3401187447
21.3,81.3401187447
21.35,80.3223070399
21.4,80.3223070399
21.45,79.2196776930
21.5,79.2196776930
21.55,78.2018659881
21.6,78.2018659881
21.65,77.2688719254
21.7,77.2688719254
21.75,76.2510602205
21.8,76.2510602205
21.85,75.1484308736
21.9,74.2154368109
21.95,74.2154368109
22,73.1976251060
22.05,73.1976251060
22.1,72.1798134012
22.15,71.1620016964
22.2,71.1620016964
22.25,70.0593723494
22.3,69.1263782867
22.35,69.1263782867
22.4,68.1085665818
22.45,67.1755725191
22.5,67.0059372349
22.55,66.0729431722
22.6,65.0551314673
22.65,64.9703138253
22.7,64.0373197625
22.75,63.0195080577
22.8,62.0016963528
22.85,61.9168787108
22.9,60.9838846480
22.95,59.9660729432
23,58.8634435963
23.05,58.8634435963
23.1,57.8456318914
23.15,56.8278201866
23.2,55.8948261238
23.25,54.8770144190
23.3,54.7073791349
23.35,53.6895674300
23.4,52.7565733673
23.45,51.7387616624
23.5,50.8905852417
23.55,50.8905852417
23.6,48.8125530110
23.65,47.7523324852
23.7,47.6675148431
23.75,46.5648854962
23.8,45.5470737913
23.85,44.6140797286
23.9,43.5962680237
23.95,42.4936386768
24,41.5606446141
24.05,39.6946564885
24.1,39.4402035623
24.15,37.4893977947
24.2,37.4893977947
24.25,35.6234096692
24.3,35.4537743851
24.35,33.5877862595
24.4,32.9516539440
24.45,31.4673452078
24.5,30.4495335030
24.55,29.5165394402
24.6,28.3290924512
24.65,27.3960983885
24.7,25.5301102629
24.75,24.4274809160
24.8,22.3918575064
24.85,21.3740458015
24.9,20.2714164546
24.95,19.1790226020
25,18.0947692896
25.05,16.9750058022
25.1,15.7760814249
25.15,14.4189991518
25.2,13.4011874470
25.25,12.2985581001
25.3,11.2807463952
25.35,10.1781170483
25.4,9.2451229856
25.45,8.2273112807
25.5,7.1246819338
25.55,7.0398642918
25.6,6.1068702290
25.65,5.0890585242
25.7,4.1560644614
25.75,3.1382527566
25.8,3.1382527566
25.85,2.1204410517
25.9,2.1204410517
25.95,2.1204410517
26,0.0000000000
